"nhtemp","wusa","jasper","westgreen","chesapeake","tornetrask","urals","mongolia","tasman","year"
,-0.66,-0.03,0.03,-0.66,0.33,-1.49,0.83,-0.12,1000
,-0.63,-0.07,0.09,-0.67,0.21,-1.44,0.96,-0.17,1001
,-0.6,-0.11,0.18,-0.67,0.13,-1.39,0.99,-0.22,1002
,-0.55,-0.14,0.3,-0.68,0.08,-1.34,0.95,-0.26,1003
,-0.51,-0.15,0.41,-0.68,0.06,-1.3,0.87,-0.31,1004
,-0.47,-0.15,0.52,-0.68,0.07,-1.25,0.77,-0.37,1005
,-0.43,-0.13,0.6,-0.69,0.09,-1.2,0.67,-0.45,1006
,-0.41,-0.07,0.64,-0.68,0.13,-1.16,0.61,-0.54,1007
,-0.4,0,0.65,-0.67,0.18,-1.11,0.56,-0.64,1008
,-0.39,0.09,0.63,-0.66,0.25,-1.07,0.54,-0.74,1009
,-0.39,0.19,0.6,-0.65,0.32,-1.02,0.53,-0.84,1010
,-0.38,0.29,0.56,-0.63,0.4,-0.98,0.53,-0.92,1011
,-0.37,0.38,0.52,-0.6,0.48,-0.94,0.53,-0.96,1012
,-0.35,0.47,0.49,-0.57,0.56,-0.9,0.53,-0.97,1013
,-0.32,0.55,0.48,-0.54,0.65,-0.87,0.52,-0.93,1014
,-0.27,0.6,0.47,-0.5,0.73,-0.83,0.5,-0.86,1015
,-0.23,0.65,0.47,-0.46,0.81,-0.79,0.48,-0.75,1016
,-0.19,0.68,0.47,-0.41,0.88,-0.76,0.45,-0.62,1017
,-0.15,0.7,0.44,-0.37,0.95,-0.73,0.42,-0.47,1018
,-0.12,0.71,0.4,-0.32,1.02,-0.69,0.4,-0.32,1019
,-0.11,0.71,0.33,-0.26,1.09,-0.66,0.37,-0.18,1020
,-0.11,0.71,0.21,-0.21,1.14,-0.62,0.35,-0.04,1021
,-0.13,0.7,0.08,-0.16,1.2,-0.59,0.34,0.08,1022
,-0.16,0.68,-0.08,-0.11,1.24,-0.55,0.33,0.18,1023
,-0.2,0.67,-0.24,-0.07,1.28,-0.52,0.31,0.26,1024
,-0.24,0.65,-0.4,-0.05,1.3,-0.49,0.3,0.31,1025
,-0.29,0.64,-0.54,-0.05,1.31,-0.45,0.29,0.33,1026
,-0.34,0.62,-0.66,-0.06,1.31,-0.42,0.27,0.31,1027
,-0.39,0.61,-0.74,-0.1,1.29,-0.39,0.25,0.25,1028
,-0.43,0.6,-0.79,-0.17,1.26,-0.37,0.22,0.17,1029
,-0.47,0.6,-0.8,-0.25,1.22,-0.34,0.18,0.07,1030
,-0.49,0.58,-0.78,-0.35,1.16,-0.32,0.14,-0.04,1031
,-0.51,0.57,-0.73,-0.46,1.08,-0.29,0.09,-0.15,1032
,-0.5,0.54,-0.65,-0.58,0.99,-0.27,0.03,-0.24,1033
,-0.48,0.51,-0.55,-0.7,0.89,-0.26,-0.04,-0.31,1034
,-0.44,0.46,-0.42,-0.82,0.78,-0.24,-0.11,-0.35,1035
,-0.39,0.41,-0.27,-0.93,0.67,-0.23,-0.2,-0.35,1036
,-0.34,0.35,-0.12,-1.04,0.55,-0.22,-0.27,-0.33,1037
,-0.28,0.29,0.03,-1.14,0.44,-0.21,-0.34,-0.3,1038
,-0.23,0.23,0.17,-1.23,0.34,-0.2,-0.38,-0.25,1039
,-0.2,0.18,0.29,-1.29,0.25,-0.19,-0.4,-0.2,1040
,-0.19,0.14,0.39,-1.33,0.19,-0.19,-0.38,-0.14,1041
,-0.21,0.12,0.45,-1.35,0.16,-0.18,-0.32,-0.09,1042
,-0.25,0.11,0.48,-1.35,0.16,-0.18,-0.23,-0.05,1043
,-0.31,0.11,0.48,-1.32,0.17,-0.17,-0.11,-0.02,1044
,-0.37,0.13,0.45,-1.28,0.18,-0.17,0.03,0,1045
,-0.43,0.15,0.41,-1.23,0.21,-0.17,0.17,0,1046
,-0.49,0.19,0.35,-1.17,0.23,-0.16,0.32,-0.02,1047
,-0.53,0.25,0.28,-1.1,0.23,-0.16,0.47,-0.06,1048
,-0.55,0.31,0.2,-1.02,0.23,-0.17,0.61,-0.13,1049
,-0.55,0.38,0.11,-0.95,0.21,-0.17,0.72,-0.21,1050
,-0.53,0.45,0.03,-0.88,0.2,-0.17,0.81,-0.31,1051
,-0.49,0.51,-0.06,-0.81,0.19,-0.18,0.87,-0.41,1052
,-0.44,0.57,-0.15,-0.76,0.19,-0.19,0.9,-0.51,1053
,-0.38,0.61,-0.24,-0.71,0.22,-0.2,0.87,-0.59,1054
,-0.31,0.64,-0.32,-0.69,0.28,-0.21,0.8,-0.65,1055
,-0.24,0.64,-0.4,-0.67,0.38,-0.22,0.67,-0.69,1056
,-0.16,0.63,-0.47,-0.68,0.49,-0.24,0.5,-0.7,1057
,-0.09,0.6,-0.52,-0.7,0.62,-0.25,0.3,-0.68,1058
,-0.03,0.55,-0.55,-0.74,0.75,-0.27,0.09,-0.65,1059
,0.01,0.5,-0.56,-0.79,0.86,-0.28,-0.12,-0.59,1060
,0.04,0.44,-0.55,-0.85,0.95,-0.3,-0.32,-0.51,1061
,0.04,0.38,-0.5,-0.92,0.98,-0.32,-0.5,-0.42,1062
